産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
TL,,,調　査　産　業　計,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,1頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
,,N,"6,672,201 ","63,516 ","62,306 ","6,674,217 ",-,19.1 ,162.3 ,147.6 ,14.7 ,"472,927 ","365,361 ","330,015 ","35,346 ","107,566 "
,,P,"997,519 ","18,459 ","17,911 ","997,262 ",-,16.5 ,109.9 ,104.9 ,5.0 ,"144,957 ","139,023 ","131,420 ","7,603 ","5,934 "
,,,,,,,,,,,,,,,,
0,T,T,"5,967,148 ","62,053 ","60,707 ","5,968,494 ","639,880 ",18.6 ,157.5 ,142.7 ,14.8 ,"464,164 ","355,672 ","318,910 ","36,762 ","108,492 "
,M,T,"4,264,887 ","39,495 ","39,487 ","4,264,895 ","176,591 ",18.9 ,163.0 ,146.1 ,16.9 ,"529,819 ","400,822 ",,,"128,997 "
,F,T,"1,702,261 ","22,558 ","21,221 ","1,703,598 ","463,289 ",18.1 ,143.9 ,134.2 ,9.7 ,"299,733 ","242,595 ",,,"57,138 "
,,N,"5,326,279 ","50,638 ","49,117 ","5,328,613 ",-,18.9 ,162.2 ,146.4 ,15.8 ,"500,714 ","380,021 ","340,141 ","39,880 ","120,693 "
,,P,"640,868 ","11,415 ","11,590 ","639,880 ",-,16.7 ,118.7 ,111.7 ,7.0 ,"160,090 ","153,102 ","142,281 ","10,821 ","6,988 "
,,,,,,,,,,,,,,,,
1,T,T,"1,054,137 ","10,336 ","9,534 ","1,054,939 ","21,790 ",18.4 ,160.3 ,142.2 ,18.1 ,"649,825 ","463,874 ","406,426 ","57,448 ","185,951 "
,M,T,"891,672 ","8,360 ","7,894 ","892,138 ","7,838 ",18.6 ,162.9 ,143.6 ,19.3 ,"682,149 ","485,382 ",,,"196,767 "
,F,T,"162,465 ","1,975 ","1,640 ","162,800 ","13,952 ",17.7 ,146.6 ,134.6 ,12.0 ,"472,552 ","345,915 ",,,"126,637 "
,,N,"1,032,314 ","10,005 ","9,174 ","1,033,148 ",-,18.5 ,161.0 ,142.7 ,18.3 ,"658,936 ","469,431 ","411,189 ","58,242 ","189,505 "
,,P,"21,823 ",331 ,360 ,"21,790 ",-,16.7 ,130.4 ,119.6 ,10.8 ,"218,321 ","200,654 ","180,835 ","19,819 ","17,667 "
,,,,,,,,,,,,,,,,
3,T,T,"767,128 ","7,284 ","7,620 ","766,792 ","87,902 ",18.3 ,157.1 ,140.5 ,16.6 ,"506,267 ","381,974 ","338,740 ","43,234 ","124,293 "
,M,T,"561,869 ","4,766 ","5,085 ","561,550 ","28,392 ",18.6 ,161.9 ,143.7 ,18.2 ,"569,818 ","425,127 ",,,"144,691 "
,F,T,"205,260 ","2,518 ","2,535 ","205,243 ","59,510 ",17.6 ,143.9 ,131.7 ,12.2 ,"332,347 ","263,878 ",,,"68,469 "
,,N,"679,107 ","5,730 ","5,965 ","678,890 ",-,18.5 ,161.4 ,144.1 ,17.3 ,"549,909 ","410,230 ","363,509 ","46,721 ","139,679 "
,,P,"88,022 ","1,554 ","1,655 ","87,902 ",-,16.4 ,124.0 ,112.8 ,11.2 ,"169,382 ","163,861 ","147,544 ","16,317 ","5,521 "
,,,,,,,,,,,,,,,,
4,T,T,"1,821,265 ","17,619 ","17,154 ","1,821,730 ","109,691 ",18.4 ,159.0 ,141.5 ,17.5 ,"589,378 ","429,389 ","377,926 ","51,463 ","159,989 "
,M,T,"1,453,541 ","13,126 ","12,979 ","1,453,688 ","36,230 ",18.6 ,162.5 ,143.7 ,18.8 ,"638,741 ","462,098 ",,,"176,643 "
