産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
TL,,,調　査　産　業　計,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,1頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
,,,,,,,,,,,,,,,,
0,T,T,"80,244 ","1,424 ","1,767 ","79,901 ","40,603 ",16.1 ,117.3 ,112.2 ,5.1 ,"283,663 ","243,117 ","232,400 ","10,717 ","40,546 "
,M,T,"22,320 ",536 ,630 ,"22,226 ","9,326 ",16.5 ,128.1 ,121.2 ,6.9 ,"361,383 ","300,427 ",,,"60,956 "
,F,T,"57,924 ",889 ,"1,138 ","57,675 ","31,277 ",15.9 ,113.1 ,108.7 ,4.4 ,"253,713 ","221,032 ",,,"32,681 "
,,N,"39,343 ",587 ,645 ,"39,298 ",-,19.5 ,159.5 ,150.4 ,9.1 ,"452,516 ","373,833 ","354,721 ","19,112 ","78,683 "
,,P,"40,901 ",838 ,"1,122 ","40,603 ",-,12.7 ,76.5 ,75.3 ,1.2 ,"120,742 ","116,993 ","114,376 ","2,617 ","3,749 "
,,,,,,,,,,,,,,,,
1,T,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,M,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,F,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,P,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,,,,,,,,,,,,,,,
3,T,T,"3,616 ",28 ,26 ,"3,618 ",62 ,20.3 ,167.5 ,159.1 ,8.4 ,"420,269 ","354,454 ","333,088 ","21,366 ","65,815 "
,M,T,"1,236 ",10 ,10 ,"1,236 ",13 ,19.7 ,169.9 ,157.2 ,12.7 ,"535,081 ","440,931 ",,,"94,150 "
,F,T,"2,380 ",18 ,16 ,"2,382 ",49 ,20.6 ,166.2 ,160.0 ,6.2 ,"360,657 ","309,554 ",,,"51,103 "
,,N,"3,554 ",27 ,25 ,"3,556 ",-,20.4 ,168.7 ,160.2 ,8.5 ,"425,108 ","358,145 ","336,420 ","21,725 ","66,963 "
,,P,62 ,2 ,1 ,62 ,-,14.0 ,96.8 ,95.4 ,1.4 ,"143,329 ","143,242 ","142,379 ",863 ,87 
,,,,,,,,,,,,,,,,
4,T,T,"4,978 ",43 ,42 ,"4,979 ",293 ,19.8 ,159.8 ,152.7 ,7.1 ,"414,605 ","339,566 ","321,341 ","18,225 ","75,039 "
,M,T,"1,443 ",14 ,15 ,"1,442 ",28 ,19.5 ,166.4 ,154.6 ,11.8 ,"544,659 ","438,489 ",,,"106,170 "
,F,T,"3,536 ",30 ,28 ,"3,538 ",265 ,20.0 ,157.0 ,151.9 ,5.1 ,"361,559 ","299,217 ",,,"62,342 "
,,N,"4,686 ",39 ,38 ,"4,686 ",-,20.0 ,162.7 ,155.2 ,7.5 ,"428,769 ","349,579 ","330,401 ","19,178 ","79,190 "
,,P,293 ,5 ,4 ,293 ,-,16.5 ,114.3 ,113.5 ,0.8 ,"188,161 ","179,484 ","176,496 ","2,988 ","8,677 "
,,,,,,,,,,,,,,,,
5,T,T,"24,364 ",450 ,746 ,"24,068 ","11,792 ",15.8 ,119.8 ,112.1 ,7.7 ,"320,684 ","285,345 ","270,485 ","14,860 ","35,339 "
,M,T,"9,332 ",178 ,259 ,"9,251 ","4,445 ",16.4 ,127.4 ,119.1 ,8.3 ,"348,394 ","306,529 ",,,"41,865 "
,F,T,"15,032 ",272 ,487 ,"14,817 ","7,347 ",15.4 ,115.1 ,107.7 ,7.4 ,"303,432 ","272,156 ",,,"31,276 "
,,N,"12,370 ",155 ,249 ,"12,276 ",-,20.1 ,169.4 ,155.5 ,13.9 ,"516,961 ","450,053 ","424,706 ","25,347 ","66,908 "
,,P,"11,994 ",295 ,498 ,"11,792 ",-,11.3 ,68.6 ,67.2 ,1.4 ,"117,302 ","114,676 ","110,682 ","3,994 ","2,626 "
,,,,,,,,,,,,,,,,
7,T,T,"50,901 ",931 ,979 ,"50,853 ","28,518 ",15.8 ,111.9 ,108.3 ,3.6 ,"253,227 ","213,578 ","205,568 ","8,010 ","39,649 "
,M,T,"11,545 ",344 ,356 ,"11,533 ","4,853 ",16.3 ,123.8 ,118.7 ,5.1 ,"348,932 ","278,254 ",,,"70,678 "
,F,T,"39,356 ",587 ,623 ,"39,320 ","23,665 ",15.7 ,108.4 ,105.2 ,3.2 ,"225,156 ","194,608 ",,,"30,548 "
,,N,"22,287 ",393 ,358 ,"22,335 ",-,19.1 ,153.4 ,146.6 ,6.8 ,"421,908 ","336,827 ","321,173 ","15,654 ","85,081 "
,,P,"28,614 ",538 ,621 ,"28,518 ",-,13.3 ,79.5 ,78.3 ,1.2 ,"121,482 ","117,316 ","115,277 ","2,039 ","4,166 "
,,,,,,,,,,,,,,,,
9,T,T,"312,179 ","8,313 ","8,972 ","311,520 ","200,879 ",16.1 ,114.1 ,110.7 ,3.4 ,"195,238 ","175,315 ","169,749 ","5,566 ","19,923 "
,M,T,"51,558 ","1,897 ","1,830 ","51,625 ","19,032 ",17.4 ,139.1 ,131.2 ,7.9 ,"297,589 ","260,030 ",,,"37,559 "
,F,T,"260,621 ","6,417 ","7,142 ","259,896 ","181,848 ",15.8 ,109.1 ,106.6 ,2.5 ,"174,949 ","158,522 ",,,"16,427 "
,,N,"110,354 ","2,840 ","2,828 ","110,641 ",-,19.8 ,160.8 ,153.6 ,7.2 ,"331,563 ","287,106 ","273,531 ","13,575 ","44,457 "
,,P,"201,825 ","5,474 ","6,144 ","200,879 ",-,14.0 ,88.4 ,87.1 ,1.3 ,"120,427 ","113,967 ","112,796 ","1,171 ","6,460 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
I58,,,飲食料品小売業,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,59頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"2,929,812 ","72,537 ","69,711 ","2,932,638 ","2,332,139 ",15.4 ,98.4 ,93.6 ,4.8 ,"151,929 ","138,606 ","132,004 ","6,602 ","13,323 "
,M,T,"970,057 ","29,551 ","27,413 ","972,195 ","626,856 ",15.6 ,111.8 ,103.4 ,8.4 ,"209,001 ","181,502 ",,,"27,499 "
,F,T,"1,959,754 ","42,985 ","42,298 ","1,960,441 ","1,705,283 ",15.3 ,91.8 ,88.8 ,3.0 ,"123,653 ","117,353 ",,,"6,300 "
,,N,"600,317 ","13,369 ","13,428 ","600,498 ",-,19.7 ,167.6 ,153.1 ,14.5 ,"353,893 ","295,239 ","273,009 ","22,230 ","58,654 "
,,P,"2,329,495 ","59,168 ","56,283 ","2,332,139 ",-,14.3 ,80.6 ,78.3 ,2.3 ,"99,904 ","98,258 ","95,682 ","2,576 ","1,646 "
,,,,,,,,,,,,,,,,
0,T,T,"1,474,315 ","28,396 ","27,714 ","1,474,997 ","1,142,424 ",16.9 ,110.0 ,104.6 ,5.4 ,"186,023 ","165,335 ","158,149 ","7,186 ","20,688 "
,M,T,"469,753 ","11,904 ","11,346 ","470,311 ","255,904 ",17.4 ,129.1 ,118.9 ,10.2 ,"277,897 ","232,083 ",,,"45,814 "
,F,T,"1,004,562 ","16,492 ","16,369 ","1,004,685 ","886,520 ",16.8 ,101.2 ,98.0 ,3.2 ,"143,039 ","134,106 ",,,"8,933 "
,,N,"332,480 ","6,754 ","6,606 ","332,572 ",-,19.8 ,172.4 ,156.5 ,15.9 ,"420,693 ","338,488 ","314,257 ","24,231 ","82,205 "
,,P,"1,141,835 ","21,641 ","21,109 ","1,142,424 ",-,16.1 ,91.9 ,89.5 ,2.4 ,"117,701 ","114,923 ","112,700 ","2,223 ","2,778 "
,,,,,,,,,,,,,,,,
1,T,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,M,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,F,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,P,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,,,,,,,,,,,,,,,
3,T,T,"53,853 ","1,190 ","1,115 ","53,928 ","17,889 ",17.7 ,141.0 ,133.5 ,7.5 ,"423,028 ","329,107 ","317,950 ","11,157 ","93,921 "
,M,T,"28,974 ",634 ,600 ,"29,008 ","4,326 ",18.7 ,159.5 ,148.9 ,10.6 ,"553,531 ","421,073 ",,,"132,458 "
,F,T,"24,879 ",556 ,515 ,"24,920 ","13,564 ",16.5 ,119.4 ,115.5 ,3.9 ,"271,076 ","222,026 ",,,"49,050 "
,,N,"35,944 ",881 ,779 ,"36,039 ",-,18.3 ,159.4 ,148.7 ,10.7 ,"556,198 ","419,024 ","403,316 ","15,708 ","137,174 "
,,P,"17,910 ",308 ,336 ,"17,889 ",-,16.5 ,104.0 ,102.9 ,1.1 ,"155,254 ","148,304 ","146,299 ","2,005 ","6,950 "
,,,,,,,,,,,,,,,,
4,T,T,"62,435 ","1,470 ","1,281 ","62,624 ","20,823 ",17.8 ,140.7 ,133.6 ,7.1 ,"424,371 ","325,555 ","314,755 ","10,800 ","98,816 "
,M,T,"33,572 ",735 ,688 ,"33,619 ","5,218 ",18.9 ,158.7 ,148.9 ,9.8 ,"555,965 ","415,678 ",,,"140,287 "
,F,T,"28,862 ",735 ,593 ,"29,004 ","15,606 ",16.6 ,119.9 ,115.9 ,4.0 ,"271,571 ","220,909 ",,,"50,662 "
,,N,"41,697 ","1,001 ",886 ,"41,801 ",-,18.3 ,157.5 ,147.6 ,9.9 ,"556,484 ","412,161 ","397,137 ","15,024 ","144,323 "
,,P,"20,738 ",469 ,394 ,"20,823 ",-,16.8 ,106.9 ,105.5 ,1.4 ,"158,956 ","151,564 ","149,251 ","2,313 ","7,392 "
,,,,,,,,,,,,,,,,
5,T,T,"617,440 ","12,597 ","12,130 ","617,907 ","473,024 ",16.7 ,108.5 ,103.1 ,5.4 ,"190,203 ","167,418 ","159,985 ","7,433 ","22,785 "
,M,T,"200,161 ","5,087 ","4,917 ","200,331 ","109,967 ",17.2 ,126.2 ,116.2 ,10.0 ,"281,540 ","232,339 ",,,"49,201 "
,F,T,"417,278 ","7,510 ","7,213 ","417,575 ","363,057 ",16.5 ,100.0 ,96.8 ,3.2 ,"146,387 ","136,274 ",,,"10,113 "
,,N,"144,741 ","2,800 ","2,702 ","144,883 ",-,19.8 ,170.6 ,155.3 ,15.3 ,"427,631 ","340,368 ","315,230 ","25,138 ","87,263 "
,,P,"472,699 ","9,798 ","9,428 ","473,024 ",-,15.8 ,89.5 ,87.1 ,2.4 ,"117,492 ","114,453 ","112,442 ","2,011 ","3,039 "
,,,,,,,,,,,,,,,,
7,T,T,"794,441 ","14,329 ","14,304 ","794,466 ","648,576 ",17.1 ,108.9 ,103.6 ,5.3 ,"164,015 ","151,106 ","144,397 ","6,709 ","12,909 "
,M,T,"236,020 ","6,081 ","5,741 ","236,360 ","140,719 ",17.3 ,127.3 ,116.9 ,10.4 ,"235,255 ","205,751 ",,,"29,504 "
,F,T,"558,421 ","8,247 ","8,562 ","558,106 ","507,858 ",17.0 ,101.1 ,98.0 ,3.1 ,"133,874 ","127,986 ",,,"5,888 "
,,N,"146,042 ","2,954 ","3,017 ","145,890 ",-,20.3 ,178.3 ,160.2 ,18.1 ,"374,973 ","315,552 ","289,588 ","25,964 ","59,421 "
,,P,"648,399 ","11,375 ","11,286 ","648,576 ",-,16.3 ,93.2 ,90.8 ,2.4 ,"116,531 ","114,091 ","111,716 ","2,375 ","2,440 "
,,,,,,,,,,,,,,,,
9,T,T,"1,455,497 ","44,141 ","41,997 ","1,457,641 ","1,189,716 ",13.9 ,86.7 ,82.5 ,4.2 ,"117,412 ","111,545 ","105,535 ","6,010 ","5,867 "
,M,T,"500,304 ","17,648 ","16,067 ","501,885 ","370,953 ",14.0 ,95.6 ,88.9 ,6.7 ,"144,376 ","134,057 ",,,"10,319 "
,F,T,"955,193 ","26,493 ","25,930 ","955,756 ","818,763 ",13.8 ,81.9 ,79.1 ,2.8 ,"103,269 ","99,738 ",,,"3,531 "
,,N,"267,837 ","6,614 ","6,823 ","267,925 ",-,19.6 ,161.7 ,148.8 ,12.9 ,"270,972 ","241,553 ","221,807 ","19,746 ","29,419 "
,,P,"1,187,659 ","37,527 ","35,174 ","1,189,716 ",-,12.6 ,69.7 ,67.5 ,2.2 ,"82,805 ","82,246 ","79,331 ","2,915 ",559 
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
I59,,,機械器具小売業,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,60頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"654,270 ","11,599 ","10,408 ","655,461 ","106,804 ",18.9 ,156.7 ,144.6 ,12.1 ,"406,496 ","321,432 ","300,351 ","21,081 ","85,064 "
,M,T,"496,524 ","8,500 ","7,674 ","497,350 ","51,026 ",19.3 ,164.2 ,150.1 ,14.1 ,"450,871 ","354,863 ",,,"96,008 "
,F,T,"157,746 ","3,099 ","2,734 ","158,111 ","55,778 ",17.4 ,133.3 ,127.5 ,5.8 ,"266,867 ","216,237 ",,,"50,630 "
,,N,"548,190 ","7,776 ","7,469 ","548,657 ",-,19.9 ,169.2 ,155.1 ,14.1 ,"460,971 ","360,157 ","335,366 ","24,791 ","100,814 "
,,P,"106,080 ","3,823 ","2,939 ","106,804 ",-,13.7 ,93.1 ,90.9 ,2.2 ,"125,823 ","121,906 ","119,942 ","1,964 ","3,917 "
,,,,,,,,,,,,,,,,
0,T,T,"169,010 ","2,458 ","2,357 ","169,111 ","23,719 ",18.7 ,159.0 ,144.6 ,14.4 ,"434,197 ","330,373 ","303,085 ","27,288 ","103,824 "
,M,T,"123,498 ","1,653 ","1,694 ","123,457 ","8,553 ",19.3 ,168.1 ,151.1 ,17.0 ,"486,514 ","367,922 ",,,"118,592 "
,F,T,"45,512 ",805 ,663 ,"45,654 ","15,166 ",17.0 ,134.0 ,126.8 ,7.2 ,"292,477 ","228,658 ",,,"63,819 "
,,N,"145,308 ","1,992 ","1,919 ","145,392 ",-,19.5 ,169.5 ,153.1 ,16.4 ,"484,867 ","364,856 ","333,366 ","31,490 ","120,011 "
,,P,"23,702 ",466 ,438 ,"23,719 ",-,13.7 ,93.8 ,92.2 ,1.6 ,"123,577 ","118,986 ","117,462 ","1,524 ","4,591 "
,,,,,,,,,,,,,,,,
1,T,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,M,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,F,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,P,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,,,,,,,,,,,,,,,
3,T,T,"1,988 ",46 ,56 ,"1,978 ",224 ,18.5 ,158.8 ,141.4 ,17.4 ,"399,235 ","310,236 ","273,014 ","37,222 ","88,999 "
,M,T,"1,264 ",12 ,18 ,"1,258 ",85 ,19.3 ,172.4 ,150.0 ,22.4 ,"475,025 ","358,926 ",,,"116,099 "
,F,T,725 ,34 ,38 ,721 ,139 ,17.0 ,135.0 ,126.3 ,8.7 ,"266,919 ","225,233 ",,,"41,686 "
,,N,"1,763 ",12 ,21 ,"1,754 ",-,19.6 ,170.8 ,151.4 ,19.4 ,"438,140 ","338,755 ","296,988 ","41,767 ","99,385 "
,,P,225 ,34 ,35 ,224 ,-,9.9 ,65.2 ,63.2 ,2.0 ,"95,034 ","87,247 ","85,561 ","1,686 ","7,787 "
,,,,,,,,,,,,,,,,
4,T,T,"2,162 ",50 ,60 ,"2,152 ",226 ,18.4 ,158.5 ,141.0 ,17.5 ,"412,027 ","317,594 ","282,087 ","35,507 ","94,433 "
,M,T,"1,396 ",15 ,22 ,"1,389 ",87 ,19.2 ,170.9 ,148.8 ,22.1 ,"486,321 ","365,304 ",,,"121,017 "
,F,T,767 ,34 ,39 ,762 ,139 ,17.1 ,135.7 ,126.7 ,9.0 ,"276,660 ","230,664 ",,,"45,996 "
,,N,"1,935 ",16 ,26 ,"1,925 ",-,19.4 ,169.3 ,150.0 ,19.3 ,"449,116 ","344,536 ","305,066 ","39,470 ","104,580 "
,,P,227 ,34 ,35 ,226 ,-,10.0 ,65.6 ,63.6 ,2.0 ,"95,698 ","87,809 ","86,106 ","1,703 ","7,889 "
,,,,,,,,,,,,,,,,
5,T,T,"56,598 ",717 ,756 ,"56,559 ","8,810 ",18.3 ,160.8 ,144.3 ,16.5 ,"447,162 ","332,736 ","297,793 ","34,943 ","114,426 "
,M,T,"40,203 ",488 ,569 ,"40,122 ","2,363 ",19.2 ,174.0 ,153.5 ,20.5 ,"518,412 ","381,872 ",,,"136,540 "
,F,T,"16,396 ",229 ,187 ,"16,438 ","6,447 ",16.2 ,128.6 ,122.0 ,6.6 ,"272,849 ","212,525 ",,,"60,324 "
,,N,"47,828 ",551 ,629 ,"47,749 ",-,19.5 ,175.8 ,156.6 ,19.2 ,"511,955 ","377,066 ","335,799 ","41,267 ","134,889 "
,,P,"8,771 ",166 ,127 ,"8,810 ",-,12.1 ,79.0 ,77.3 ,1.7 ,"94,914 ","91,734 ","91,173 ",561 ,"3,180 "
,,,,,,,,,,,,,,,,
7,T,T,"110,250 ","1,691 ","1,540 ","110,401 ","14,683 ",18.9 ,158.0 ,144.8 ,13.2 ,"427,981 ","329,411 ","306,210 ","23,201 ","98,570 "
,M,T,"81,900 ","1,150 ","1,104 ","81,946 ","6,104 ",19.3 ,165.2 ,150.0 ,15.2 ,"470,879 ","361,127 ",,,"109,752 "
,F,T,"28,350 ",542 ,437 ,"28,455 ","8,579 ",17.6 ,137.2 ,129.7 ,7.5 ,"304,248 ","237,929 ",,,"66,319 "
,,N,"95,545 ","1,425 ","1,264 ","95,717 ",-,19.5 ,166.4 ,151.4 ,15.0 ,"472,052 ","359,164 ","332,720 ","26,444 ","112,888 "
,,P,"14,704 ",266 ,276 ,"14,683 ",-,14.8 ,103.1 ,101.6 ,1.5 ,"141,154 ","135,769 ","133,672 ","2,097 ","5,385 "
,,,,,,,,,,,,,,,,
9,T,T,"485,260 ","9,141 ","8,051 ","486,350 ","83,086 ",18.9 ,156.1 ,144.7 ,11.4 ,"396,856 ","318,320 ","299,399 ","18,921 ","78,536 "
,M,T,"373,026 ","6,847 ","5,980 ","373,893 ","42,473 ",19.4 ,163.0 ,149.8 ,13.2 ,"439,085 ","350,545 ",,,"88,540 "
,F,T,"112,234 ","2,294 ","2,071 ","112,457 ","40,613 ",17.6 ,132.9 ,127.7 ,5.2 ,"256,477 ","211,198 ",,,"45,279 "
,,N,"402,882 ","5,783 ","5,550 ","403,264 ",-,20.0 ,169.0 ,155.8 ,13.2 ,"452,354 ","358,463 ","336,087 ","22,376 ","93,891 "
,,P,"82,378 ","3,358 ","2,501 ","83,086 ",-,13.7 ,93.0 ,90.6 ,2.4 ,"126,467 ","122,743 ","120,653 ","2,090 ","3,724 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
J62,,,銀行業,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,61頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"375,494 ","7,357 ","7,216 ","375,635 ","63,354 ",18.2 ,148.3 ,133.9 ,14.4 ,"552,212 ","411,459 ","372,951 ","38,508 ","140,753 "
,M,T,"165,783 ","3,472 ","3,468 ","165,787 ","3,648 ",19.0 ,165.1 ,145.6 ,19.5 ,"757,076 ","552,626 ",,,"204,450 "
,F,T,"209,710 ","3,885 ","3,748 ","209,847 ","59,706 ",17.5 ,135.0 ,124.6 ,10.4 ,"390,311 ","299,897 ",,,"90,414 "
,,N,"311,992 ","6,545 ","6,272 ","312,281 ",-,18.7 ,158.2 ,141.2 ,17.0 ,"632,502 ","464,491 ","418,736 ","45,755 ","168,011 "
,,P,"63,502 ",812 ,944 ,"63,354 ",-,15.5 ,99.8 ,97.9 ,1.9 ,"157,097 ","150,483 ","147,636 ","2,847 ","6,614 "
,,,,,,,,,,,,,,,,
0,T,T,"239,288 ","4,283 ","4,203 ","239,368 ","33,452 ",18.3 ,151.1 ,134.8 ,16.3 ,"599,777 ","443,528 ","398,874 ","44,654 ","156,249 "
,M,T,"112,993 ","2,214 ","2,178 ","113,029 ","3,042 ",19.0 ,165.7 ,145.1 ,20.6 ,"797,327 ","578,967 ",,,"218,360 "
,F,T,"126,294 ","2,069 ","2,025 ","126,338 ","30,411 ",17.6 ,138.2 ,125.7 ,12.5 ,"423,033 ","322,354 ",,,"100,679 "
,,N,"205,721 ","3,948 ","3,759 ","205,916 ",-,18.7 ,159.2 ,140.6 ,18.6 ,"670,450 ","489,993 ","438,620 ","51,373 ","180,457 "
,,P,"33,567 ",335 ,444 ,"33,452 ",-,15.5 ,101.7 ,99.7 ,2.0 ,"165,698 ","158,139 ","154,754 ","3,385 ","7,559 "
,,,,,,,,,,,,,,,,
1,T,T,"59,957 ",874 ,813 ,"60,018 ","5,434 ",18.3 ,155.5 ,134.3 ,21.2 ,"743,656 ","539,879 ","473,575 ","66,304 ","203,777 "
,M,T,"30,649 ",513 ,502 ,"30,660 ",572 ,18.9 ,166.5 ,141.0 ,25.5 ,"959,127 ","685,086 ",,,"274,041 "
,F,T,"29,308 ",361 ,311 ,"29,358 ","4,862 ",17.7 ,144.0 ,127.3 ,16.7 ,"518,475 ","388,129 ",,,"130,346 "
,,N,"54,498 ",817 ,731 ,"54,584 ",-,18.6 ,160.5 ,137.4 ,23.1 ,"798,093 ","575,150 ","502,683 ","72,467 ","222,943 "
,,P,"5,459 ",57 ,83 ,"5,434 ",-,15.8 ,105.7 ,103.3 ,2.4 ,"198,526 ","186,684 ","182,101 ","4,583 ","11,842 "
,,,,,,,,,,,,,,,,
3,T,T,"32,827 ",597 ,548 ,"32,876 ","3,828 ",18.4 ,153.9 ,137.3 ,16.6 ,"621,847 ","455,053 ","416,094 ","38,959 ","166,794 "
,M,T,"17,020 ",313 ,288 ,"17,045 ",752 ,19.0 ,165.5 ,144.5 ,21.0 ,"786,526 ","567,063 ",,,"219,463 "
,F,T,"15,806 ",285 ,260 ,"15,831 ","3,076 ",17.8 ,141.3 ,129.5 ,11.8 ,"444,521 ","334,441 ",,,"110,080 "
,,N,"28,983 ",550 ,491 ,"29,048 ",-,18.7 ,159.5 ,141.1 ,18.4 ,"679,751 ","492,222 ","448,773 ","43,449 ","187,529 "
,,P,"3,843 ",48 ,57 ,"3,828 ",-,16.6 ,111.0 ,107.9 ,3.1 ,"183,802 ","173,866 ","168,876 ","4,990 ","9,936 "
,,,,,,,,,,,,,,,,
4,T,T,"92,784 ","1,471 ","1,362 ","92,893 ","9,262 ",18.4 ,155.0 ,135.4 ,19.6 ,"700,553 ","509,863 ","453,235 ","56,628 ","190,690 "
,M,T,"47,669 ",826 ,790 ,"47,705 ","1,324 ",19.0 ,166.1 ,142.2 ,23.9 ,"897,478 ","642,931 ",,,"254,547 "
,F,T,"45,114 ",645 ,572 ,"45,187 ","7,938 ",17.7 ,143.1 ,128.1 ,15.0 ,"492,566 ","369,320 ",,,"123,246 "
,,N,"83,482 ","1,366 ","1,222 ","83,631 ",-,18.6 ,160.1 ,138.7 ,21.4 ,"756,998 ","546,353 ","483,963 ","62,390 ","210,645 "
,,P,"9,302 ",105 ,140 ,"9,262 ",-,16.2 ,107.9 ,105.2 ,2.7 ,"192,442 ","181,387 ","176,636 ","4,751 ","11,055 "
,,,,,,,,,,,,,,,,
5,T,T,"69,335 ","1,350 ","1,355 ","69,330 ","12,455 ",18.3 ,150.4 ,136.6 ,13.8 ,"543,760 ","412,114 ","377,790 ","34,324 ","131,646 "
,M,T,"35,973 ",699 ,695 ,"35,977 ","1,443 ",19.0 ,164.0 ,147.0 ,17.0 ,"703,127 ","524,556 ",,,"178,571 "
,F,T,"33,362 ",651 ,660 ,"33,353 ","11,012 ",17.5 ,135.7 ,125.4 ,10.3 ,"371,889 ","290,850 ",,,"81,039 "
,,N,"56,832 ","1,237 ","1,197 ","56,875 ",-,18.8 ,160.7 ,144.2 ,16.5 ,"631,103 ","471,312 ","429,882 ","41,430 ","159,791 "
,,P,"12,503 ",113 ,158 ,"12,455 ",-,15.9 ,103.1 ,101.9 ,1.2 ,"145,824 ","142,407 ","140,458 ","1,949 ","3,417 "
,,,,,,,,,,,,,,,,
7,T,T,"77,169 ","1,462 ","1,486 ","77,145 ","11,736 ",18.1 ,147.2 ,132.6 ,14.6 ,"528,854 ","391,939 ","352,411 ","39,528 ","136,915 "
,M,T,"29,351 ",690 ,693 ,"29,348 ",275 ,19.1 ,167.0 ,147.3 ,19.7 ,"750,064 ","541,730 ",,,"208,334 "
,F,T,"47,818 ",772 ,793 ,"47,797 ","11,461 ",17.5 ,135.2 ,123.7 ,11.5 ,"393,049 ","299,980 ",,,"93,069 "
,,N,"65,407 ","1,345 ","1,341 ","65,409 ",-,18.8 ,156.6 ,139.8 ,16.8 ,"594,089 ","434,233 ","388,293 ","45,940 ","159,856 "
,,P,"11,762 ",117 ,145 ,"11,736 ",-,14.5 ,95.3 ,93.0 ,2.3 ,"165,676 ","156,480 ","152,648 ","3,832 ","9,196 "
,,,,,,,,,,,,,,,,
9,T,T,"136,206 ","3,074 ","3,013 ","136,267 ","29,902 ",18.0 ,143.3 ,132.2 ,11.1 ,"468,656 ","355,124 ","327,411 ","27,713 ","113,532 "
,M,T,"52,790 ","1,258 ","1,290 ","52,758 ",606 ,19.1 ,163.8 ,146.7 ,17.1 ,"670,882 ","496,219 ",,,"174,663 "
,F,T,"83,416 ","1,816 ","1,723 ","83,509 ","29,296 ",17.3 ,130.3 ,123.0 ,7.3 ,"340,788 ","265,909 ",,,"74,879 "
