産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
TL,,,調　査　産　業　計,,令和 7年,12月分,,,,,,,（ 確 報 ）,確  原  表　―,,1頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
,,P,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,,,,,,,,,,,,,,,
4,T,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,M,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,F,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,P,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,,,,,,,,,,,,,,,
5,T,T,"1,663 ",17 ,15 ,"1,665 ",21 ,19.0 ,154.9 ,141.1 ,13.8 ,"1,475,052 ","503,130 ","466,238 ","36,892 ","971,922 "
,M,T,"1,461 ",13 ,13 ,"1,461 ",3 ,19.1 ,156.3 ,142.4 ,13.9 ,"1,560,013 ","518,422 ",,,"1,041,591 "
,F,T,202 ,4 ,2 ,204 ,18 ,18.1 ,144.7 ,131.7 ,13.0 ,"863,591 ","393,074 ",,,"470,517 "
,,N,"1,642 ",17 ,15 ,"1,644 ",-,19.0 ,155.2 ,141.3 ,13.9 ,"1,489,270 ","507,158 ","469,838 ","37,320 ","982,112 "
,,P,21 ,0 ,0 ,21 ,-,18.2 ,127.1 ,125.1 ,2.0 ,"362,762 ","188,048 ","184,667 ","3,381 ","174,714 "
,,,,,,,,,,,,,,,,
7,T,T,"2,833 ",13 ,17 ,"2,829 ",73 ,19.0 ,158.7 ,144.9 ,13.8 ,"1,071,610 ","380,180 ","341,840 ","38,340 ","691,430 "
,M,T,"2,530 ",10 ,17 ,"2,523 ",28 ,19.2 ,161.4 ,146.7 ,14.7 ,"1,117,876 ","394,731 ",,,"723,145 "
,F,T,303 ,3 ,0 ,306 ,45 ,17.4 ,136.3 ,130.0 ,6.3 ,"687,724 ","259,445 ",,,"428,279 "
,,N,"2,761 ",13 ,17 ,"2,756 ",-,19.2 ,160.8 ,146.7 ,14.1 ,"1,095,217 ","387,544 ","348,196 ","39,348 ","707,673 "
,,P,72 ,0 ,0 ,73 ,-,14.7 ,74.7 ,74.7 ,0.0 ,"173,379 ","99,972 ","99,972 ",0 ,"73,407 "
,,,,,,,,,,,,,,,,
9,T,T,"7,189 ",3 ,0 ,"7,192 ",795 ,20.6 ,168.6 ,162.5 ,6.1 ,"554,656 ","275,753 ","264,381 ","11,372 ","278,903 "
,M,T,"6,130 ",3 ,0 ,"6,133 ",617 ,20.7 ,170.8 ,164.1 ,6.7 ,"567,626 ","288,272 ",,,"279,354 "
,F,T,"1,059 ",0 ,0 ,"1,059 ",178 ,19.8 ,156.2 ,153.6 ,2.6 ,"479,559 ","203,266 ",,,"276,293 "
,,N,"6,395 ",3 ,0 ,"6,397 ",-,21.9 ,181.1 ,174.3 ,6.8 ,"612,051 ","299,487 ","286,714 ","12,773 ","312,564 "
,,P,794 ,0 ,0 ,795 ,-,10.2 ,67.4 ,67.3 ,0.1 ,"92,605 ","84,686 ","84,599 ",87 ,"7,919 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
D,,,建設業,,令和 7年,12月分,,,,,,,（ 確 報 ）,確  原  表　―,,3頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
