時間軸コード,月,消費支出（名目）,食料（名目）,住居（名目）,光熱・水道（名目）,家具・家事用品（名目）,被服及び履物（名目）,保健医療（名目）,交通・通信（名目）,教育（名目）,教養娯楽（名目）,その他の消費支出（名目）,消費支出（実質）,食料（実質）,住居（実質）,光熱・水道（実質）,家具・家事用品（実質）,被服及び履物（実質）,保健医療（実質）,交通・通信（実質）,教育（実質）,教養娯楽（実質）
2020000101,2020年1月,102.4817,25.7105,7.5917,8.6704,3.4397,4.2564,4.8036,15.6432,2.3341,10.5798,19.452,101.8705,25.6592,7.5993,8.4342,3.4535,4.37,4.794,15.3969,2.2772,10.4958
2020000202,2020年2月,98.6242,25.4639,7.8085,9.2634,3.6202,3.0033,4.7903,17.3818,2.4759,9.5499,15.2677,98.3292,25.5662,7.8163,9.0375,3.6531,3.0803,4.7807,17.1757,2.4179,9.4647
2020000303,2020年3月,104.7993,26.8934,7.7714,8.9512,3.8628,3.4155,4.8946,19.0434,4.2387,9.0688,16.6594,104.3818,27.0286,7.7792,8.7414,3.9097,3.4361,4.8751,18.8736,4.1393,8.9436
2020000404,2020年4月,94.95,24.6935,7.7682,8.3807,3.4457,1.8123,4.5155,15.1372,7.5599,7.7392,13.8974,94.7605,24.6197,7.7605,8.2568,3.4735,1.7891,4.5065,15.2901,7.5979,7.6024
2020000505,2020年5月,89.9164,26.0465,7.1195,7.2888,4.4933,2.6762,4.4188,13.5932,3.239,7.5656,13.4751,89.7369,25.9686,7.1124,7.2309,4.5114,2.6471,4.41,13.7862,3.2685,7.4099
2020000606,2020年6月,99.0549,25.9055,8.1869,6.74,5.9249,3.7503,4.9796,15.8926,2.2112,8.9161,16.5478,99.1541,25.9314,8.1869,6.7064,5.919,3.7317,4.9647,16.0694,2.2358,8.8191
2020000707,2020年7月,95.8243,26.6098,7.8162,5.9978,5.6138,3.1021,5.1545,14.8209,2.2567,8.985,15.4675,95.8243,26.5567,7.8162,6.0098,5.6195,3.1461,5.1442,14.8209,2.2749,8.9314
2020000808,2020年8月,99.4526,28.325,7.9491,6.331,5.4168,2.646,5.1037,16.3673,2.3397,9.678,15.2959,99.3533,28.0446,7.9571,6.3628,5.4495,2.7166,5.1088,16.3021,2.3586,9.7267
2020000909,2020年9月,96.9787,26.3608,7.8955,6.6102,4.4446,2.7007,4.6891,16.2847,4.5864,9.1011,14.3055,97.0758,26.2296,7.8955,6.6973,4.449,2.6556,4.6938,16.301,4.6234,9.2585
2020001010,2020年10月,103.0345,26.9249,8.8541,6.5377,4.4667,3.7495,5.441,17.0305,5.1569,9.9133,14.9599,103.241,26.8176,8.8541,6.6643,4.4313,3.676,5.4574,17.0646,5.1985,10.1157
2020001111,2020年11月,101.2287,26.8068,9.1236,6.5579,4.4107,3.8426,5.1984,17.2553,3.0336,9.749,15.2512,101.8397,26.9686,9.1145,6.7537,4.3413,3.7599,5.2193,17.3072,3.0611,9.9989
2020001212,2020年12月,113.7058,32.8763,9.1808,7.2311,5.3729,4.0916,5.254,16.9922,2.7588,11.1684,18.7795,114.6227,33.2757,9.1808,7.509,5.2779,4.0511,5.2857,17.0092,2.7838,11.3847
2021000101,2021年1月,96.4589,24.7358,7.5966,8.5467,4.0038,3.0968,4.6347,15.9418,2.4606,8.4645,16.9781,96.6522,24.7358,7.477,8.8935,3.9485,3.1536,4.6627,15.9577,2.483,8.3973
2021000202,2021年2月,91.3633,24.1939,7.4967,8.9024,3.6194,2.4695,4.4978,15.3829,2.8136,8.0712,13.9159,91.6382,24.3155,7.3786,9.2349,3.5729,2.5122,4.5249,15.3676,2.8391,8.0311
