産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
TL,,,調　査　産　業　計,,令和 8年,1月分,,,,,,,（ 確 報 ）,確  原  表　―,,1頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
,,P,9 ,0 ,0 ,9 ,-,17.8 ,118.6 ,118.6 ,0.0 ,"192,333 ","192,333 ","192,111 ",222 ,0 
,,,,,,,,,,,,,,,,
7,T,T,"2,829 ",9 ,30 ,"2,808 ",91 ,18.2 ,150.8 ,135.3 ,15.5 ,"430,701 ","430,701 ","388,785 ","41,916 ",0 
,M,T,"2,413 ",9 ,27 ,"2,395 ",33 ,18.5 ,154.6 ,138.0 ,16.6 ,"444,733 ","444,733 ",,,0 
,F,T,416 ,0 ,3 ,413 ,58 ,16.7 ,128.5 ,119.5 ,9.0 ,"349,324 ","349,324 ",,,0 
,,N,"2,738 ",9 ,30 ,"2,717 ",-,18.4 ,153.6 ,137.6 ,16.0 ,"441,262 ","441,262 ","397,958 ","43,304 ",0 
,,P,91 ,0 ,0 ,91 ,-,13.1 ,66.8 ,66.3 ,0.5 ,"114,176 ","114,176 ","113,846 ",330 ,0 
,,,,,,,,,,,,,,,,
9,T,T,"7,178 ",10 ,75 ,"7,113 ","1,319 ",18.3 ,154.4 ,141.2 ,13.2 ,"287,715 ","287,715 ","257,226 ","30,489 ",0 
,M,T,"6,039 ",0 ,75 ,"5,964 ","1,227 ",18.3 ,154.7 ,140.9 ,13.8 ,"298,425 ","298,425 ",,,0 
,F,T,"1,139 ",10 ,0 ,"1,149 ",92 ,18.7 ,153.1 ,142.7 ,10.4 ,"231,529 ","231,529 ",,,0 
,,N,"5,859 ",10 ,75 ,"5,794 ",-,20.3 ,175.3 ,159.3 ,16.0 ,"330,658 ","330,658 ","293,438 ","37,220 ",0 
,,P,"1,319 ",0 ,0 ,"1,319 ",-,9.8 ,62.2 ,61.2 ,1.0 ,"98,020 ","98,020 ","97,263 ",757 ,0 
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
D,,,建設業,,令和 8年,1月分,,,,,,,（ 確 報 ）,確  原  表　―,,3頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"2,617,114 ","19,813 ","28,661 ","2,608,266 ","147,746 ",18.1 ,147.8 ,135.7 ,12.1 ,"387,625 ","372,175 ","345,975 ","26,200 ","15,450 "
,M,T,"2,117,841 ","16,101 ","22,582 ","2,111,360 ","51,261 ",18.4 ,152.8 ,139.0 ,13.8 ,"416,235 ","399,772 ",,,"16,463 "
,F,T,"499,273 ","3,712 ","6,079 ","496,906 ","96,485 ",16.7 ,126.8 ,121.9 ,4.9 ,"266,163 ","255,014 ",,,"11,149 "
,,N,"2,469,574 ","16,990 ","26,025 ","2,460,520 ",-,18.4 ,152.0 ,139.3 ,12.7 ,"403,601 ","387,313 ","359,722 ","27,591 ","16,288 "
,,P,"147,540 ","2,823 ","2,636 ","147,746 ",-,12.8 ,77.5 ,76.2 ,1.3 ,"120,881 ","119,418 ","116,443 ","2,975 ","1,463 "
,,,,,,,,,,,,,,,,
0,T,T,"1,012,060 ","4,730 ","8,222 ","1,008,568 ","39,932 ",18.1 ,152.5 ,137.1 ,15.4 ,"438,844 ","424,371 ","388,049 ","36,322 ","14,473 "
,M,T,"811,488 ","3,143 ","6,712 ","807,919 ","13,473 ",18.2 ,156.4 ,139.1 ,17.3 ,"473,047 ","457,168 ",,,"15,879 "
,F,T,"200,572 ","1,587 ","1,510 ","200,649 ","26,459 ",17.4 ,136.3 ,128.9 ,7.4 ,"300,793 ","291,995 ",,,"8,798 "
,,N,"972,467 ","4,035 ","7,866 ","968,636 ",-,18.2 ,154.8 ,138.9 ,15.9 ,"450,694 ","435,659 ","398,013 ","37,646 ","15,035 "
,,P,"39,593 ",695 ,356 ,"39,932 ",-,14.9 ,95.1 ,93.1 ,2.0 ,"149,579 ","148,837 ","144,839 ","3,998 ",742 
,,,,,,,,,,,,,,,,
1,T,T,"59,160 ",389 ,447 ,"59,102 ",217 ,18.7 ,161.3 ,140.4 ,20.9 ,"590,866 ","585,424 ","533,017 ","52,407 ","5,442 "
,M,T,"48,183 ",318 ,350 ,"48,151 ",107 ,18.9 ,164.0 ,142.0 ,22.0 ,"624,133 ","618,417 ",,,"5,716 "
,F,T,"10,977 ",71 ,97 ,"10,951 ",110 ,17.9 ,149.2 ,133.1 ,16.1 ,"444,718 ","440,480 ",,,"4,238 "
,,N,"58,947 ",385 ,447 ,"58,885 ",-,18.7 ,161.5 ,140.5 ,21.0 ,"592,049 ","586,594 ","534,030 ","52,564 ","5,455 "
,,P,213 ,4 ,0 ,217 ,-,15.3 ,108.0 ,104.2 ,3.8 ,"266,730 ","264,688 ","255,511 ","9,177 ","2,042 "
,,,,,,,,,,,,,,,,
3,T,T,"46,724 ",325 ,463 ,"46,586 ",517 ,18.3 ,159.1 ,139.5 ,19.6 ,"558,272 ","522,750 ","475,565 ","47,185 ","35,522 "
,M,T,"38,207 ",251 ,359 ,"38,099 ",257 ,18.4 ,161.8 ,140.9 ,20.9 ,"593,489 ","554,395 ",,,"39,094 "
,F,T,"8,517 ",74 ,104 ,"8,487 ",260 ,17.6 ,146.9 ,133.0 ,13.9 ,"400,230 ","380,740 ",,,"19,490 "
,,N,"46,207 ",322 ,460 ,"46,069 ",-,18.3 ,159.8 ,140.0 ,19.8 ,"562,647 ","526,762 ","479,111 ","47,651 ","35,885 "
,,P,517 ,3 ,3 ,517 ,-,14.0 ,90.8 ,88.3 ,2.5 ,"167,739 ","164,662 ","159,047 ","5,615 ","3,077 "
,,,,,,,,,,,,,,,,
4,T,T,"105,884 ",714 ,910 ,"105,688 ",734 ,18.5 ,160.3 ,140.0 ,20.3 ,"576,491 ","557,783 ","507,679 ","50,104 ","18,708 "
,M,T,"86,390 ",569 ,709 ,"86,250 ",364 ,18.7 ,163.0 ,141.5 ,21.5 ,"610,588 ","590,119 ",,,"20,469 "
,F,T,"19,494 ",145 ,201 ,"19,438 ",370 ,17.8 ,148.2 ,133.1 ,15.1 ,"425,287 ","414,388 ",,,"10,899 "
,,N,"105,154 ",707 ,907 ,"104,954 ",-,18.5 ,160.8 ,140.3 ,20.5 ,"579,136 ","560,317 ","509,911 ","50,406 ","18,819 "
,,P,730 ,7 ,3 ,734 ,-,14.4 ,95.9 ,93.0 ,2.9 ,"196,814 ","194,041 ","187,380 ","6,661 ","2,773 "
,,,,,,,,,,,,,,,,
5,T,T,"322,268 ","1,257 ","1,863 ","321,662 ","23,826 ",18.0 ,152.1 ,136.6 ,15.5 ,"425,992 ","417,525 ","382,373 ","35,152 ","8,467 "
