時間軸コード,月,消費支出（名目）,食料（名目）,住居（名目）,光熱・水道（名目）,家具・家事用品（名目）,被服及び履物（名目）,保健医療（名目）,交通・通信（名目）,教育（名目）,教養娯楽（名目）,その他の消費支出（名目）,消費支出（実質）,食料（実質）,住居（実質）,光熱・水道（実質）,家具・家事用品（実質）,被服及び履物（実質）,保健医療（実質）,交通・通信（実質）,教育（実質）,教養娯楽（実質）,その他の消費支出（実質）
2022000606,2022年6月,88.7257,23.6842,8.0603,6.2581,4.3042,2.9821,4.7201,14.1365,1.926,9.0712,13.583,99.0242,28.7779,8.7612,6.3277,4.9531,3.2449,4.9738,15.2169,1.8502,10.25,15.1596
2022000707,2022年7月,90.4334,24.8796,7.8183,5.8242,4.5938,2.8478,4.6393,15.03,2.0183,9.0383,13.7435,100.3701,30.1206,8.4889,5.8184,5.256,3.1399,4.8834,15.9385,1.9388,10.1326,15.2536
2022000808,2022年8月,91.2883,25.7337,7.6228,6.4529,4.1416,2.2672,4.6195,14.3874,2.1383,9.8019,14.1232,100.871,30.9672,8.2587,6.3953,4.7171,2.5275,4.8627,15.2571,2.0541,10.8069,15.6058
2022000909,2022年9月,90.669,24.3826,7.587,6.6555,3.9512,2.4694,4.3683,15.1103,4.1148,8.8583,13.1724,99.7458,29.0616,8.211,6.5636,4.4346,2.6468,4.5933,16.0747,3.9527,9.8644,14.4911
2022001010,2022年10月,95.0336,25.4666,8.4995,6.7564,3.929,3.571,4.7273,14.7973,4.1892,9.3748,13.7223,103.8618,29.9255,9.0516,6.598,4.3948,3.7989,4.9501,15.7251,4.0242,10.5217,14.9971
2022001111,2022年11月,91.8997,24.7224,8.139,6.7346,3.8473,3.4625,4.8333,14.7676,2.4985,9.2835,13.6103,100.1086,28.8476,8.631,6.5069,4.2701,3.6602,5.0558,15.6603,2.4001,10.5614,14.826
2022001212,2022年12月,106.764,30.9444,8.2489,7.8977,4.9006,3.9533,4.9536,15.8137,2.7691,10.7023,16.5809,116.0479,36.0657,8.729,7.4789,5.4878,4.2102,5.187,16.7518,2.6601,12.1479,18.0227
2023000101,2023年1月,95.3204,24.5029,7.1742,10.1427,3.6264,3.2327,4.234,14.9333,2.1748,9.2488,16.0499,103.0491,28.1643,7.5757,9.5236,4.0655,3.5023,4.4289,15.836,2.0891,10.3802,17.3513
2023000202,2023年2月,88.6807,23.2528,7.123,10.6991,3.0795,2.2994,4.3522,14.1644,2.3274,9.0268,12.3562,96.602,26.605,7.4979,11.2859,3.4293,2.4751,4.5241,15.0206,2.2314,10.0971,13.4599
2023000303,2023年3月,101.7887,25.5712,7.4667,9.5764,3.8528,3.5087,4.8312,17.6499,3.9812,10.244,15.1067,110.3998,29.1244,7.8514,10.1552,4.2061,3.7248,5.0064,18.6574,3.8098,11.3318,16.3847
