時間軸コード,月,消費支出（名目）,食料（名目）,住居（名目）,光熱・水道（名目）,家具・家事用品（名目）,被服及び履物（名目）,保健医療（名目）,交通・通信（名目）,教育（名目）,教養娯楽（名目）,その他の消費支出（名目）,消費支出（実質）,食料（実質）,住居（実質）,光熱・水道（実質）,家具・家事用品（実質）,被服及び履物（実質）,保健医療（実質）,交通・通信（実質）,教育（実質）,教養娯楽（実質）,その他の消費支出（実質）
2021001212,2021年12月,103.6663,30.2363,8.5335,6.8509,4.4634,3.79,4.6806,15.1179,2.6298,10.3097,17.0537,118.0709,37.7011,9.4293,7.4792,5.3711,4.1557,4.9166,16.3437,2.5434,11.7023,19.4234
2022000101,2022年1月,90.7899,23.0356,7.0929,8.4806,3.7418,2.8945,4.223,14.9845,2.0821,8.1313,16.123,103.1704,28.404,7.8461,9.1484,4.5137,3.2341,4.4359,16.217,2.0136,9.2717,18.3215
2022000202,2022年2月,83.8655,21.7149,6.826,9.5764,3.0297,2.0332,4.012,14.1541,2.4924,7.5924,12.4344,94.8704,26.7096,7.5342,10.0698,3.668,2.2666,4.2098,15.2687,2.4104,8.6179,14.0661
2022000303,2022年3月,97.9531,24.1793,7.4299,9.3962,3.6988,3.294,4.4951,16.6608,3.9892,9.2246,15.5848,110.3075,29.7043,8.1827,9.6868,4.4191,3.6238,4.7167,17.8956,3.8543,10.4351,17.5504
2022000404,2022年4月,95.6151,23.6966,7.5369,8.2762,3.6587,3.2908,4.3487,14.2824,7.0984,9.4132,14.0137,107.0717,28.969,8.2551,8.4624,4.2892,3.5691,4.5824,15.3574,6.8188,10.5529,15.6928
2022000505,2022年5月,92.7603,25.1472,7.5259,7.2947,4.0734,3.1911,4.3858,14.5544,3.2621,9.4271,13.8983,103.5271,30.5927,8.216,7.3983,4.7145,3.4611,4.6215,15.6837,3.1336,10.5213,15.5115
2022000606,2022年6月,90.0433,24.03,8.3331,6.3481,4.3557,3.0172,4.7976,14.221,1.8843,9.2308,13.8255,100.4948,29.1981,9.0577,6.4187,5.0124,3.2832,5.0554,15.3078,1.8101,10.4303,15.4302
2022000707,2022年7月,91.6759,25.2137,7.9994,5.9096,4.6406,2.8757,4.7402,15.1481,1.963,9.1701,14.0152,101.7491,30.5251,8.6855,5.9037,5.3096,3.1706,4.9897,16.0637,1.8857,10.2804,15.5551
2022000808,2022年8月,92.5214,26.0541,7.8362,6.5404,4.1929,2.2875,4.6972,14.5162,2.0813,9.9248,14.3912,102.2336,31.3527,8.4899,6.482,4.7755,2.5502,4.9445,15.3937,1.9994,10.9425,15.9019
2022000909,2022年9月,91.8229,24.6711,7.813,6.7373,3.9804,2.4886,4.456,15.2238,4.0311,9.0103,13.4108,101.0153,29.4054,8.4556,6.6443,4.4673,2.6673,4.6856,16.1956,3.8724,10.0337,14.7534
2022001010,2022年10月,96.1738,25.7434,8.7427,6.8389,3.9715,3.6043,4.7949,14.9195,4.1024,9.5047,13.9516,105.108,30.2508,9.3106,6.6786,4.4424,3.8344,5.0209,15.8549,3.9408,10.6674,15.2476
2022001111,2022年11月,93.0433,24.9914,8.3993,6.8112,3.8944,3.504,4.902,14.8706,2.4258,9.4157,13.8288,101.3544,29.1614,8.907,6.5809,4.3223,3.704,5.1276,15.7694,2.3302,10.7119,15.064
2022001212,2022年12月,107.9779,31.3055,8.5246,7.9887,4.9196,3.994,5.0225,15.8744,2.667,10.8339,16.8479,117.3672,36.4866,9.0208,7.5651,5.509,4.2535,5.2591,16.8161,2.5619,12.2973,18.3129
2023000101,2023年1月,96.3499,24.699,7.4402,10.2429,3.6366,3.254,4.2951,14.9874,2.0917,9.3481,16.3545,104.162,28.3897,7.8566,9.6177,4.0769,3.5254,4.4927,15.8934,2.0093,10.4917,17.6805
2023000202,2023年2月,89.5839,23.4507,7.3873,10.788,3.0944,2.3023,4.4116,14.2217,2.2346,9.1396,12.5536,97.5859,26.8314,7.7761,11.3797,3.4459,2.4783,4.5858,15.0813,2.1425,10.2233,13.6749
2023000303,2023年3月,102.7491,25.7725,7.7199,9.6598,3.9032,3.4867,4.8802,17.7187,3.8591,10.3197,15.4297,111.4415,29.3537,8.1177,10.2437,4.2612,3.7014,5.0573,18.7302,3.6929,11.4156,16.735
2023000404,2023年4月,99.4499,25.0788,7.6222,7.978,3.5393,3.2257,4.6681,16.5887,6.8484,9.9786,13.9221,107.0504,28.2738,7.9981,8.4783,3.7732,3.3706,4.8374,17.5356,6.4975,10.8581,14.9861
2023000505,2023年5月,93.5147,26.3526,7.2858,6.8668,3.9554,3.2386,4.5233,14.7941,3.4426,10.0402,13.0153,100.5534,29.5433,7.6212,7.596,4.1768,3.3841,4.668,15.6056,3.2662,10.8309,13.995
2023000606,2023年6月,90.058,24.9222,7.9623,5.9835,3.9377,3.0599,4.6373,15.1018,1.952,9.3822,13.1189,96.7326,27.9397,8.3287,6.4756,4.1713,3.2041,4.7709,15.9133,1.852,10.2426,14.0912
