variant,series_index,official_series_code,series_name,month,raw_value,is_missing
seasonallyAdjusted,15,,光熱・水道（実質）,2005-06,9.5,false
seasonallyAdjusted,16,,家具・家事用品（実質）,2005-06,3.8,false
seasonallyAdjusted,17,,被服及び履物（実質）,2005-06,5.9,false
seasonallyAdjusted,18,,保健医療（実質）,2005-06,4.3,false
seasonallyAdjusted,19,,交通・通信（実質）,2005-06,15.6,false
seasonallyAdjusted,20,,教育（実質）,2005-06,3.2,false
seasonallyAdjusted,21,,教養娯楽（実質）,2005-06,11.9,false
seasonallyAdjusted,22,,その他の消費支出（実質）,2005-06,,true
seasonallyAdjusted,1,,消費支出（名目）,2005-07,98.5,false
seasonallyAdjusted,2,,食料（名目）,2005-07,23.4,false
seasonallyAdjusted,3,,住居（名目）,2005-07,7.5,false
seasonallyAdjusted,4,,光熱・水道（名目）,2005-07,6.6,false
seasonallyAdjusted,5,,家具・家事用品（名目）,2005-07,3.5,false
seasonallyAdjusted,6,,被服及び履物（名目）,2005-07,4.6,false
seasonallyAdjusted,7,,保健医療（名目）,2005-07,4.1,false
seasonallyAdjusted,8,,交通・通信（名目）,2005-07,13.7,false
seasonallyAdjusted,9,,教育（名目）,2005-07,3.8,false
seasonallyAdjusted,10,,教養娯楽（名目）,2005-07,11,false
seasonallyAdjusted,11,,その他の消費支出（名目）,2005-07,,true
seasonallyAdjusted,12,,消費支出（実質）,2005-07,120.1,false
seasonallyAdjusted,13,,食料（実質）,2005-07,34.3,false
seasonallyAdjusted,14,,住居（実質）,2005-07,8.9,false
seasonallyAdjusted,15,,光熱・水道（実質）,2005-07,9.4,false
seasonallyAdjusted,16,,家具・家事用品（実質）,2005-07,3.7,false
seasonallyAdjusted,17,,被服及び履物（実質）,2005-07,5.6,false
seasonallyAdjusted,18,,保健医療（実質）,2005-07,4.4,false
seasonallyAdjusted,19,,交通・通信（実質）,2005-07,13.9,false
seasonallyAdjusted,20,,教育（実質）,2005-07,3.3,false
seasonallyAdjusted,21,,教養娯楽（実質）,2005-07,12,false
seasonallyAdjusted,22,,その他の消費支出（実質）,2005-07,,true
seasonallyAdjusted,1,,消費支出（名目）,2005-08,100.3,false
seasonallyAdjusted,2,,食料（名目）,2005-08,23.3,false
seasonallyAdjusted,3,,住居（名目）,2005-08,7.2,false
seasonallyAdjusted,4,,光熱・水道（名目）,2005-08,6.6,false
seasonallyAdjusted,5,,家具・家事用品（名目）,2005-08,3.5,false
seasonallyAdjusted,6,,被服及び履物（名目）,2005-08,4.8,false
seasonallyAdjusted,7,,保健医療（名目）,2005-08,4.3,false
seasonallyAdjusted,8,,交通・通信（名目）,2005-08,15.5,false
seasonallyAdjusted,9,,教育（名目）,2005-08,4,false
seasonallyAdjusted,10,,教養娯楽（名目）,2005-08,11,false
seasonallyAdjusted,11,,その他の消費支出（名目）,2005-08,,true
seasonallyAdjusted,12,,消費支出（実質）,2005-08,122.3,false
seasonallyAdjusted,13,,食料（実質）,2005-08,34.3,false
seasonallyAdjusted,14,,住居（実質）,2005-08,8.4,false
seasonallyAdjusted,15,,光熱・水道（実質）,2005-08,9.4,false
seasonallyAdjusted,16,,家具・家事用品（実質）,2005-08,3.7,false
seasonallyAdjusted,17,,被服及び履物（実質）,2005-08,5.8,false
seasonallyAdjusted,18,,保健医療（実質）,2005-08,4.7,false
seasonallyAdjusted,19,,交通・通信（実質）,2005-08,15.7,false
seasonallyAdjusted,20,,教育（実質）,2005-08,3.5,false
seasonallyAdjusted,21,,教養娯楽（実質）,2005-08,12.1,false
seasonallyAdjusted,22,,その他の消費支出（実質）,2005-08,,true
seasonallyAdjusted,1,,消費支出（名目）,2005-09,100.8,false
seasonallyAdjusted,2,,食料（名目）,2005-09,23.4,false
seasonallyAdjusted,3,,住居（名目）,2005-09,7.4,false
seasonallyAdjusted,4,,光熱・水道（名目）,2005-09,6.7,false
seasonallyAdjusted,5,,家具・家事用品（名目）,2005-09,3.6,false
seasonallyAdjusted,6,,被服及び履物（名目）,2005-09,4.4,false
seasonallyAdjusted,7,,保健医療（名目）,2005-09,4.1,false
seasonallyAdjusted,8,,交通・通信（名目）,2005-09,16.3,false
seasonallyAdjusted,9,,教育（名目）,2005-09,3.7,false
seasonallyAdjusted,10,,教養娯楽（名目）,2005-09,11.1,false
seasonallyAdjusted,11,,その他の消費支出（名目）,2005-09,,true
seasonallyAdjusted,12,,消費支出（実質）,2005-09,122.6,false
seasonallyAdjusted,13,,食料（実質）,2005-09,34.4,false
seasonallyAdjusted,14,,住居（実質）,2005-09,8.7,false
seasonallyAdjusted,15,,光熱・水道（実質）,2005-09,9.5,false
seasonallyAdjusted,16,,家具・家事用品（実質）,2005-09,3.8,false
seasonallyAdjusted,17,,被服及び履物（実質）,2005-09,5.3,false
seasonallyAdjusted,18,,保健医療（実質）,2005-09,4.3,false
seasonallyAdjusted,19,,交通・通信（実質）,2005-09,16.4,false
seasonallyAdjusted,20,,教育（実質）,2005-09,3.2,false
seasonallyAdjusted,21,,教養娯楽（実質）,2005-09,12.3,false
seasonallyAdjusted,22,,その他の消費支出（実質）,2005-09,,true
seasonallyAdjusted,1,,消費支出（名目）,2005-10,100.9,false
seasonallyAdjusted,2,,食料（名目）,2005-10,23.3,false
seasonallyAdjusted,3,,住居（名目）,2005-10,7.2,false
seasonallyAdjusted,4,,光熱・水道（名目）,2005-10,6.7,false
seasonallyAdjusted,5,,家具・家事用品（名目）,2005-10,3.9,false
seasonallyAdjusted,6,,被服及び履物（名目）,2005-10,4.6,false
seasonallyAdjusted,7,,保健医療（名目）,2005-10,4.1,false
seasonallyAdjusted,8,,交通・通信（名目）,2005-10,16.1,false
seasonallyAdjusted,9,,教育（名目）,2005-10,3.8,false
seasonallyAdjusted,10,,教養娯楽（名目）,2005-10,11.1,false
seasonallyAdjusted,11,,その他の消費支出（名目）,2005-10,,true
seasonallyAdjusted,12,,消費支出（実質）,2005-10,122.9,false
seasonallyAdjusted,13,,食料（実質）,2005-10,34.4,false
seasonallyAdjusted,14,,住居（実質）,2005-10,8.4,false
seasonallyAdjusted,15,,光熱・水道（実質）,2005-10,9.4,false
seasonallyAdjusted,16,,家具・家事用品（実質）,2005-10,4.2,false
seasonallyAdjusted,17,,被服及び履物（実質）,2005-10,5.5,false
seasonallyAdjusted,18,,保健医療（実質）,2005-10,4.4,false
seasonallyAdjusted,19,,交通・通信（実質）,2005-10,16.1,false
seasonallyAdjusted,20,,教育（実質）,2005-10,3.3,false
seasonallyAdjusted,21,,教養娯楽（実質）,2005-10,12.2,false
seasonallyAdjusted,22,,その他の消費支出（実質）,2005-10,,true
seasonallyAdjusted,1,,消費支出（名目）,2005-11,98.5,false
seasonallyAdjusted,2,,食料（名目）,2005-11,23,false
seasonallyAdjusted,3,,住居（名目）,2005-11,7.5,false
seasonallyAdjusted,4,,光熱・水道（名目）,2005-11,6.7,false
seasonallyAdjusted,5,,家具・家事用品（名目）,2005-11,3.5,false
seasonallyAdjusted,6,,被服及び履物（名目）,2005-11,4.7,false
seasonallyAdjusted,7,,保健医療（名目）,2005-11,4.2,false
seasonallyAdjusted,8,,交通・通信（名目）,2005-11,15,false
seasonallyAdjusted,9,,教育（名目）,2005-11,3.7,false
seasonallyAdjusted,10,,教養娯楽（名目）,2005-11,10.7,false
seasonallyAdjusted,11,,その他の消費支出（名目）,2005-11,,true
seasonallyAdjusted,12,,消費支出（実質）,2005-11,120.3,false
seasonallyAdjusted,13,,食料（実質）,2005-11,34,false
seasonallyAdjusted,14,,住居（実質）,2005-11,8.8,false
seasonallyAdjusted,15,,光熱・水道（実質）,2005-11,9.4,false
seasonallyAdjusted,16,,家具・家事用品（実質）,2005-11,3.7,false
seasonallyAdjusted,17,,被服及び履物（実質）,2005-11,5.6,false
seasonallyAdjusted,18,,保健医療（実質）,2005-11,4.5,false
seasonallyAdjusted,19,,交通・通信（実質）,2005-11,15,false
seasonallyAdjusted,20,,教育（実質）,2005-11,3.2,false
seasonallyAdjusted,21,,教養娯楽（実質）,2005-11,11.8,false
seasonallyAdjusted,22,,その他の消費支出（実質）,2005-11,,true
seasonallyAdjusted,1,,消費支出（名目）,2005-12,99.5,false
seasonallyAdjusted,2,,食料（名目）,2005-12,23.1,false
seasonallyAdjusted,3,,住居（名目）,2005-12,6.9,false
seasonallyAdjusted,4,,光熱・水道（名目）,2005-12,7.1,false
seasonallyAdjusted,5,,家具・家事用品（名目）,2005-12,3.5,false
seasonallyAdjusted,6,,被服及び履物（名目）,2005-12,4.8,false
seasonallyAdjusted,7,,保健医療（名目）,2005-12,4.2,false
seasonallyAdjusted,8,,交通・通信（名目）,2005-12,15,false
seasonallyAdjusted,9,,教育（名目）,2005-12,3.9,false
seasonallyAdjusted,10,,教養娯楽（名目）,2005-12,10.6,false
seasonallyAdjusted,11,,その他の消費支出（名目）,2005-12,,true
seasonallyAdjusted,12,,消費支出（実質）,2005-12,121.1,false
seasonallyAdjusted,13,,食料（実質）,2005-12,34,false
seasonallyAdjusted,14,,住居（実質）,2005-12,8.1,false
seasonallyAdjusted,15,,光熱・水道（実質）,2005-12,9.8,false
seasonallyAdjusted,16,,家具・家事用品（実質）,2005-12,3.8,false
seasonallyAdjusted,17,,被服及び履物（実質）,2005-12,5.7,false
seasonallyAdjusted,18,,保健医療（実質）,2005-12,4.6,false
seasonallyAdjusted,19,,交通・通信（実質）,2005-12,15.2,false
seasonallyAdjusted,20,,教育（実質）,2005-12,3.3,false
seasonallyAdjusted,21,,教養娯楽（実質）,2005-12,11.7,false
seasonallyAdjusted,22,,その他の消費支出（実質）,2005-12,,true
seasonallyAdjusted,1,,消費支出（名目）,2006-01,99,false
seasonallyAdjusted,2,,食料（名目）,2006-01,22.8,false
seasonallyAdjusted,3,,住居（名目）,2006-01,7.3,false
seasonallyAdjusted,4,,光熱・水道（名目）,2006-01,7.2,false
seasonallyAdjusted,5,,家具・家事用品（名目）,2006-01,3.5,false
seasonallyAdjusted,6,,被服及び履物（名目）,2006-01,4.4,false
seasonallyAdjusted,7,,保健医療（名目）,2006-01,4,false
seasonallyAdjusted,8,,交通・通信（名目）,2006-01,14.9,false
seasonallyAdjusted,9,,教育（名目）,2006-01,3.8,false
seasonallyAdjusted,10,,教養娯楽（名目）,2006-01,10.7,false
seasonallyAdjusted,11,,その他の消費支出（名目）,2006-01,,true
seasonallyAdjusted,12,,消費支出（実質）,2006-01,120,false
seasonallyAdjusted,13,,食料（実質）,2006-01,33.1,false
seasonallyAdjusted,14,,住居（実質）,2006-01,8.6,false
seasonallyAdjusted,15,,光熱・水道（実質）,2006-01,10,false
seasonallyAdjusted,16,,家具・家事用品（実質）,2006-01,3.7,false
seasonallyAdjusted,17,,被服及び履物（実質）,2006-01,5.3,false
seasonallyAdjusted,18,,保健医療（実質）,2006-01,4.3,false
seasonallyAdjusted,19,,交通・通信（実質）,2006-01,15,false
seasonallyAdjusted,20,,教育（実質）,2006-01,3.3,false
seasonallyAdjusted,21,,教養娯楽（実質）,2006-01,11.9,false
seasonallyAdjusted,22,,その他の消費支出（実質）,2006-01,,true
seasonallyAdjusted,1,,消費支出（名目）,2006-02,99.2,false
seasonallyAdjusted,2,,食料（名目）,2006-02,23.1,false
seasonallyAdjusted,3,,住居（名目）,2006-02,7.2,false
seasonallyAdjusted,4,,光熱・水道（名目）,2006-02,7.1,false
seasonallyAdjusted,5,,家具・家事用品（名目）,2006-02,3.6,false
seasonallyAdjusted,6,,被服及び履物（名目）,2006-02,4.4,false
seasonallyAdjusted,7,,保健医療（名目）,2006-02,4,false
seasonallyAdjusted,8,,交通・通信（名目）,2006-02,14.9,false
seasonallyAdjusted,9,,教育（名目）,2006-02,3.8,false
seasonallyAdjusted,10,,教養娯楽（名目）,2006-02,10.7,false
seasonallyAdjusted,11,,その他の消費支出（名目）,2006-02,,true
seasonallyAdjusted,12,,消費支出（実質）,2006-02,120.6,false
seasonallyAdjusted,13,,食料（実質）,2006-02,33.8,false
seasonallyAdjusted,14,,住居（実質）,2006-02,8.5,false
seasonallyAdjusted,15,,光熱・水道（実質）,2006-02,9.7,false
seasonallyAdjusted,16,,家具・家事用品（実質）,2006-02,3.9,false
seasonallyAdjusted,17,,被服及び履物（実質）,2006-02,5.2,false
seasonallyAdjusted,18,,保健医療（実質）,2006-02,4.3,false
seasonallyAdjusted,19,,交通・通信（実質）,2006-02,14.9,false
seasonallyAdjusted,20,,教育（実質）,2006-02,3.3,false
seasonallyAdjusted,21,,教養娯楽（実質）,2006-02,11.8,false
seasonallyAdjusted,22,,その他の消費支出（実質）,2006-02,,true
seasonallyAdjusted,1,,消費支出（名目）,2006-03,99.8,false
seasonallyAdjusted,2,,食料（名目）,2006-03,23.1,false
seasonallyAdjusted,3,,住居（名目）,2006-03,7.8,false
seasonallyAdjusted,4,,光熱・水道（名目）,2006-03,6.8,false
seasonallyAdjusted,5,,家具・家事用品（名目）,2006-03,3.4,false
seasonallyAdjusted,6,,被服及び履物（名目）,2006-03,4.4,false
seasonallyAdjusted,7,,保健医療（名目）,2006-03,4,false
seasonallyAdjusted,8,,交通・通信（名目）,2006-03,15,false
seasonallyAdjusted,9,,教育（名目）,2006-03,3.6,false
seasonallyAdjusted,10,,教養娯楽（名目）,2006-03,10.8,false
seasonallyAdjusted,11,,その他の消費支出（名目）,2006-03,,true
seasonallyAdjusted,12,,消費支出（実質）,2006-03,121.2,false
seasonallyAdjusted,13,,食料（実質）,2006-03,33.9,false
seasonallyAdjusted,14,,住居（実質）,2006-03,9.2,false
seasonallyAdjusted,15,,光熱・水道（実質）,2006-03,9.4,false
seasonallyAdjusted,16,,家具・家事用品（実質）,2006-03,3.7,false
seasonallyAdjusted,17,,被服及び履物（実質）,2006-03,5.3,false
seasonallyAdjusted,18,,保健医療（実質）,2006-03,4.3,false
seasonallyAdjusted,19,,交通・通信（実質）,2006-03,15.1,false
seasonallyAdjusted,20,,教育（実質）,2006-03,3.1,false
seasonallyAdjusted,21,,教養娯楽（実質）,2006-03,12,false
seasonallyAdjusted,22,,その他の消費支出（実質）,2006-03,,true
seasonallyAdjusted,1,,消費支出（名目）,2006-04,100.2,false
seasonallyAdjusted,2,,食料（名目）,2006-04,23.2,false
seasonallyAdjusted,3,,住居（名目）,2006-04,7.2,false
seasonallyAdjusted,4,,光熱・水道（名目）,2006-04,7,false
seasonallyAdjusted,5,,家具・家事用品（名目）,2006-04,3.4,false
seasonallyAdjusted,6,,被服及び履物（名目）,2006-04,4.4,false
seasonallyAdjusted,7,,保健医療（名目）,2006-04,3.9,false
seasonallyAdjusted,8,,交通・通信（名目）,2006-04,16.2,false
seasonallyAdjusted,9,,教育（名目）,2006-04,3.9,false
seasonallyAdjusted,10,,教養娯楽（名目）,2006-04,10.9,false
seasonallyAdjusted,11,,その他の消費支出（名目）,2006-04,,true
seasonallyAdjusted,12,,消費支出（実質）,2006-04,121.7,false
seasonallyAdjusted,13,,食料（実質）,2006-04,34,false
seasonallyAdjusted,14,,住居（実質）,2006-04,8.5,false
seasonallyAdjusted,15,,光熱・水道（実質）,2006-04,9.6,false
seasonallyAdjusted,16,,家具・家事用品（実質）,2006-04,3.7,false
seasonallyAdjusted,17,,被服及び履物（実質）,2006-04,5.2,false
seasonallyAdjusted,18,,保健医療（実質）,2006-04,4.3,false
seasonallyAdjusted,19,,交通・通信（実質）,2006-04,16.1,false
seasonallyAdjusted,20,,教育（実質）,2006-04,3.3,false
seasonallyAdjusted,21,,教養娯楽（実質）,2006-04,12,false
seasonallyAdjusted,22,,その他の消費支出（実質）,2006-04,,true
seasonallyAdjusted,1,,消費支出（名目）,2006-05,99.9,false
seasonallyAdjusted,2,,食料（名目）,2006-05,23.1,false
seasonallyAdjusted,3,,住居（名目）,2006-05,6.8,false
seasonallyAdjusted,4,,光熱・水道（名目）,2006-05,6.9,false
seasonallyAdjusted,5,,家具・家事用品（名目）,2006-05,3.5,false
seasonallyAdjusted,6,,被服及び履物（名目）,2006-05,4.6,false
seasonallyAdjusted,7,,保健医療（名目）,2006-05,4.1,false
seasonallyAdjusted,8,,交通・通信（名目）,2006-05,15.8,false
seasonallyAdjusted,9,,教育（名目）,2006-05,3.9,false
seasonallyAdjusted,10,,教養娯楽（名目）,2006-05,11.3,false
seasonallyAdjusted,11,,その他の消費支出（名目）,2006-05,,true
seasonallyAdjusted,12,,消費支出（実質）,2006-05,121,false
seasonallyAdjusted,13,,食料（実質）,2006-05,33.7,false
seasonallyAdjusted,14,,住居（実質）,2006-05,8,false
seasonallyAdjusted,15,,光熱・水道（実質）,2006-05,9.4,false
seasonallyAdjusted,16,,家具・家事用品（実質）,2006-05,3.7,false
seasonallyAdjusted,17,,被服及び履物（実質）,2006-05,5.5,false
seasonallyAdjusted,18,,保健医療（実質）,2006-05,4.4,false
seasonallyAdjusted,19,,交通・通信（実質）,2006-05,15.9,false
seasonallyAdjusted,20,,教育（実質）,2006-05,3.3,false
seasonallyAdjusted,21,,教養娯楽（実質）,2006-05,12.4,false
seasonallyAdjusted,22,,その他の消費支出（実質）,2006-05,,true
seasonallyAdjusted,1,,消費支出（名目）,2006-06,99.7,false
seasonallyAdjusted,2,,食料（名目）,2006-06,23.1,false
seasonallyAdjusted,3,,住居（名目）,2006-06,6.9,false
seasonallyAdjusted,4,,光熱・水道（名目）,2006-06,6.9,false
seasonallyAdjusted,5,,家具・家事用品（名目）,2006-06,3.4,false
seasonallyAdjusted,6,,被服及び履物（名目）,2006-06,4.6,false
seasonallyAdjusted,7,,保健医療（名目）,2006-06,4.1,false
seasonallyAdjusted,8,,交通・通信（名目）,2006-06,15.6,false
seasonallyAdjusted,9,,教育（名目）,2006-06,4,false
seasonallyAdjusted,10,,教養娯楽（名目）,2006-06,10.8,false
seasonallyAdjusted,11,,その他の消費支出（名目）,2006-06,,true
seasonallyAdjusted,12,,消費支出（実質）,2006-06,120.6,false
seasonallyAdjusted,13,,食料（実質）,2006-06,33.7,false
seasonallyAdjusted,14,,住居（実質）,2006-06,8.2,false
seasonallyAdjusted,15,,光熱・水道（実質）,2006-06,9.4,false
seasonallyAdjusted,16,,家具・家事用品（実質）,2006-06,3.6,false
seasonallyAdjusted,17,,被服及び履物（実質）,2006-06,5.4,false
seasonallyAdjusted,18,,保健医療（実質）,2006-06,4.5,false
seasonallyAdjusted,19,,交通・通信（実質）,2006-06,15.6,false
seasonallyAdjusted,20,,教育（実質）,2006-06,3.4,false
seasonallyAdjusted,21,,教養娯楽（実質）,2006-06,11.8,false
seasonallyAdjusted,22,,その他の消費支出（実質）,2006-06,,true
seasonallyAdjusted,1,,消費支出（名目）,2006-07,98.3,false
seasonallyAdjusted,2,,食料（名目）,2006-07,23,false
seasonallyAdjusted,3,,住居（名目）,2006-07,7.2,false
seasonallyAdjusted,4,,光熱・水道（名目）,2006-07,6.8,false
seasonallyAdjusted,5,,家具・家事用品（名目）,2006-07,3.4,false
seasonallyAdjusted,6,,被服及び履物（名目）,2006-07,4.6,false
seasonallyAdjusted,7,,保健医療（名目）,2006-07,3.8,false
seasonallyAdjusted,8,,交通・通信（名目）,2006-07,15.7,false
seasonallyAdjusted,9,,教育（名目）,2006-07,3.9,false
seasonallyAdjusted,10,,教養娯楽（名目）,2006-07,10.7,false
